mitte-just_kõik_võimsus;võimas;;;välja;21300
teenus;teeni;teenus;;;21300
alkoholi_sisaldus;sisalda;sisaldus;ldus;double;21300
selgus;selge;selgus;;välja;21300
liigutus;liiguta;liigutus;üksikjuht, (s)tus;;21300
kaevandus;kaevanda;kaevandus;;;21300
meelde_tuletus;tuleta;tuletus;(s)tus;;21300
mälestus;mälesta;mälestus;(s)tus;;21300
katus;kat;katus;vahend, (s)tus;;21300
laterna_valgus;valge;valgus;;välja;21300
haigus;haige;haigus;omadus;välja;21300
tulemus;tule;tulemus;mus;välja;21300
pingutus;pinguta;pingutus;üksikjuht, (s)tus;;21300
pingutus;pinguta;pingutus;üksikjuht, (s)tus;;21300
isiku_kirjeldus;kirjelda;kirjeldus;tulemus, ldus;;21300
harjumus;harju;harjumus;mus;välja;21300
kujundus;kujunda;kujundus;ndus;;21300
õigus;õige;õigus;;välja;21300
õigus;õige;õigus;;välja;21300
sarnasus;sarnane;sarnasus;sus;välja;21300
algus;alga;algus;üksikjuht;;21300
juus;juus;juus;;välja;21300
lahkus;lahke;lahkus;omadus;välja;21300
täpsustus;täpsusta;täpsustus;(s)tus;double;21300
küsimus;küsi;küsimus;mus;välja;21300
metsikus;metsik;metsikus;;välja;21300
huvi_puudus;puudu;puudus;;;21300
õigus;õige;õigus;;välja;21300
juus;juus;juus;;välja;21300
õrnus;õrn;õrnus;;välja;21300
naeratus;naerata;naeratus;(s)tus;;21300
kahtlus;kahtle;kahtlus;üksikjuht, tlus;;21300
valve_naeratus;naerata;naeratus;(s)tus;;21300
isiku_kirjeldus;kirjelda;kirjeldus;tulemus, ldus;;21300
alus;alune;alus;;välja;21300
kindlustus;kindlusta;kindlustus;(s)tus;double;21300
võimalus;või;võimalus;;välja;21300
mälestus;mälesta;mälestus;(s)tus;;21300
kindlustus;kindlusta;kindlustus;(s)tus;double;21300
võimalus;või;võimalus;;välja;21300
juus;juus;juus;;välja;21300
vabadus;vaba;vabadus;;välja;21300
võimalus;või;võimalus;;välja;21300
vastutus;vastuta;vastutus;(s)tus;;21300
väärtus;väärt;väärtus;;välja;21300
uhkus;uhke;uhkus;;välja;21300
ameti_kohus;kohus;kohus;;välja;21300
küsimus;küsi;küsimus;mus;välja;21300
selgus;selge;selgus;;välja;21300
juurdlus;juurdle;juurdlus;lus;;21300
aju_loputus;loputa;loputus;(s)tus;;21300
aju_loputus;loputa;loputus;(s)tus;;21300
mälu_puhastus;puhasta;puhastus;protsess, (s)tus;double;21300
õigus;õige;õigus;;välja;21300
teenistus;teenistu;teenistus;(s)tus;;21300
aju_loputus;loputa;loputus;(s)tus;;21300
tulemus;tule;tulemus;mus;välja;21300
kõrgus;kõrge;kõrgus;omadus;välja;21300
firma_saladus;sala;saladus;;välja;21300
mälestus;mälesta;mälestus;(s)tus;;21300
küsimus;küsi;küsimus;mus;välja;21300
igavus;igav;igavus;;välja;21300
üllatus;üllata;üllatus;(s)tus;double;21300
mõjutus;mõjuta;mõjutus;(s)tus;;21300
mõjutus;mõjuta;mõjutus;(s)tus;;21300
mõjutus;mõjuta;mõjutus;(s)tus;;21300
kohus;kohus;kohus;;välja;21300
tervise_kindlustus;kindlusta;kindlustus;(s)tus;double;21300
kindlustus;kindlusta;kindlustus;(s)tus;double;21300
aju_loputus;loputa;loputus;(s)tus;;21300
eba_meeldivus;meeldiv;meeldivus;;välja;21300
kannatus;kannata;kannatus;(s)tus;;21300
põnevus;põnev;põnevus;;välja;21300
impotentsus;impotentne;;;välja;21300
lahendus;lahenda;lahendus;ndus;double;21300
aju_loputus;loputa;loputus;(s)tus;;21300
oskus;oska;oskus;;;21300
eba_täpsus;täpne;täpsus;sus;välja;21300
