müüja;müüja;;21300
pressi_esindaja;pressi_esindaja;;21300
uurija;uurija;;21300
maksu_maksja;maksu_maksja;;21300
tarnija;tarnija;;21300
töö_võtja;töö_võtja;;21300
tarbija;tarbija;;21300
tellija;tellija;;21300
tarbija;tarbija;;21300
töö_võtja;töö_võtja;;21300
tarbija;tarbija;;21300
töö_võtja;töö_võtja;;21300
tarbija;tarbija;;21300
maksu_maksja;maksu_maksja;;21300
maksu_maksja;maksu_maksja;;21300
maksu_maksja;maksu_maksja;;21300
maksja;maksja;;21300
töötaja;töötaja;;21300
töötaja;töötaja;;21300
töötaja;töötaja;;21300
arvutaja;arvutaja;;21300
ostja;ostja;;21300
profi_mängija;profi_mängija;;21300
kindlustus_võtja;kindlustus_võtja;;21300
likviidsus_kordaja;likviidsus_kordaja;;21300
likviidsus_kordaja;likviidsus_kordaja;;21300
näitaja;näitaja;;21300
tootja;tootja;;21300
esindaja;esindaja;;21300
esindaja;esindaja;;21300
uurija;uurija;;21300
uurija;uurija;;21300
mere_uurija;mere_uurija;;21300
valitseja;valitseja;;21300
töötaja;töötaja;;21300
rajaja;rajaja;;21300
juhataja;juhataja;;21300
esindaja;esindaja;;21300
tootja;tootja;;21300
jala_käija;jala_käija;;21300
kukkuja;kukkuja;;21300
kukkuja;kukkuja;;21300
juhataja;juhataja;;21300
ase_täitja;ase_täitja;;21300
juhataja;juhataja;;21300
ase_täitja;ase_täitja;;21300
näitleja;näitleja;;21300
lille_tooja;lille_tooja;;21300
leiutaja;leiutaja;;21300
algataja;algataja;;21300
osa_võtja;osa_võtja;;21300
vaataja;vaataja;;21300
vaataja;vaataja;;21300
suusataja;suusataja;;21300
võitja;võitja;;21300
juhendaja;juhendaja;;21300
mantli_pärija;mantli_pärija;;21300
suusataja;suusataja;;21300
ees_olija;ees_oleja;tegelt i;21300
mängija;mängija;;21300
ääre_mängija;ääre_mängija;;21300
mängija;mängija;;21300
enese_imetleja;enese_imetleja;;21300
mängija;mängija;;21300
pool_kaitsja;pool_kaitsja;;21300
karika_kaitsja;karika_kaitsja;;21300
kaitsja;kaitsja;;21300
kesk_mängija;kesk_mängija;;21300
meedia_esindaja;meedia_esindaja;;21300
mängija;mängija;;21300
võitja;võitja;;21300
karika_võitja;karika_võitja;;21300
esindaja;esindaja;;21300
mängija;mängija;;21300
valija;valija;;21300
tipp_tegija;tipp_tegeja;tegelt i;21300
olümpia_võitja;olümpia_võitja;;21300
juhataja;juhataja;;21300
vaatleja;vaatleja;;21300
pressi_esindaja;pressi_esindaja;;21300
korraldaja;korraldaja;;21300
töötaja;töötaja;;21300
pressi_esindaja;pressi_esindaja;;21300
pressi_esindaja;pressi_esindaja;;21300
esindaja;esindaja;;21300
teenistuja;teenistuja;tegelt stuja;21300
töötaja;töötaja;;21300
töötaja;töötaja;;21300
töötaja;töötaja;;21300
palga_töötaja;palga_töötaja;;21300
töötaja;töötaja;;21300
asja_tundja;asja_tundja;;21300
töötaja;töötaja;;21300
juhataja;juhataja;;21300
töö_võtja;töö_võtja;;21300
töö_andja;töö_andja;;21300
näitleja;näitleja;;21300
